6900938496 | Coentro | 50.0
6900938496 | Milho | 50.0
6900938496 | Milho | 20.0
6900938496 | Coentro | 20.0
6900938496 | Milho | 10.0
6873272006 | Milho | 22.0
6873272006 | Milho | 2.0
6873272006 | Milho | 2.0
6873272006 | Milho | 2.0
6873272006 | Milho | 2.0
6873272006 | Milho | 2.0
6873272006 | Milho | 2.0
6873272006 | Milho | 3.0
6873272006 | Milho | 5.0
6873272006 | Milho | 2.0
6873272006 | Milho | 2.0
6873272006 | Milho | 2.0
6873272006 | Milho | 1.0
6873272006 | Milho | 2.0
6873272006 | Milho | 2.0
6873272006 | Milho | 2.0
6873272006 | Milho | 3.0
6873272006 | Milho | 2.0
6873272006 | Milho | 30.0
6873272006 | Milho | 6.0
6873272006 | Milho | 5.0
6873272006 | Milho | 20.0
6873272006 | Milho | 2.0
6873272006 | Milho | 3.0
6873272006 | Milho | 2.0
6873272006 | Milho | 3.0
6900938496 | Milho | 20.0
6873272006 | Milho | 2.0
6873272006 | Milho | 2.0
